Node Number, X [ m ], Y [ m ], Z [ m ], Wall Shear [ Pa ]
1763,2.38E-05,3.07E-04,4.01E-03,1.33E+00
1764,2.14E-04,-3.76E-03,-1.37E-03,1.69E-01
1765,-9.75E-04,3.25E-03,-2.19E-03,2.34E-01
1766,-2.32E-03,-3.43E-04,3.27E-03,1.79E+00
1767,-2.31E-04,1.81E-03,3.60E-03,1.89E+00
1768,2.23E-03,-2.95E-03,-1.56E-03,8.27E-02
1769,1.31E-04,-3.13E-03,-2.51E-03,1.58E-01
1770,-3.23E-03,-5.30E-04,-2.34E-03,2.77E-01
1771,-4.77E-04,-3.46E-03,-1.98E-03,2.12E-01
1772,-1.24E-04,9.66E-04,3.91E-03,1.57E+00
1773,2.00E-03,-2.57E-03,-2.36E-03,1.15E-01
1774,1.25E-05,4.96E-04,4.00E-03,1.41E+00
1775,1.69E-03,3.62E-03,-6.04E-04,7.85E-02
1776,2.21E-03,-2.76E-03,-1.91E-03,9.52E-02
1777,2.24E-03,-2.51E-03,-2.20E-03,1.06E-01
1778,2.32E-03,-2.37E-03,-2.27E-03,1.09E-01
1779,2.35E-03,-2.48E-03,-2.11E-03,1.02E-01
1780,7.76E-04,-3.91E-03,-4.61E-04,1.07E-01
1781,2.53E-04,3.20E-03,-2.45E-03,1.57E-01
1782,-3.52E-03,4.14E-04,-1.91E-03,3.44E-01
1783,1.94E-03,2.53E-03,-2.48E-03,1.19E-01
1784,6.23E-04,3.95E-03,-5.38E-04,1.25E-01
1785,1.20E-03,2.89E-03,-2.55E-03,1.34E-01
1786,1.35E-03,-3.77E-03,1.53E-04,7.26E-02
1787,-3.14E-03,-7.61E-04,-2.39E-03,2.64E-01
1788,-3.06E-03,-9.80E-04,-2.42E-03,2.50E-01
1789,-3.21E-03,-9.48E-04,-2.23E-03,2.82E-01
1790,-7.45E-04,3.45E-03,-1.95E-03,2.37E-01
1791,-3.58E-06,6.74E-04,3.97E-03,1.52E+00
1792,-3.23E-03,3.12E-04,-2.38E-03,2.69E-01
1793,-3.44E-05,1.79E-03,3.61E-03,1.96E+00
1794,1.51E-03,3.73E-03,-3.22E-04,7.77E-02
1795,-3.35E-03,6.97E-04,-2.13E-03,3.02E-01
1796,-3.02E-03,9.57E-04,-2.48E-03,2.41E-01
1797,-3.19E-04,3.60E-03,-1.81E-03,2.08E-01
1798,-1.82E-03,5.13E-04,3.56E-03,2.00E+00
1799,-1.37E-03,9.09E-04,3.68E-03,1.88E+00
1800,1.32E-03,3.80E-03,3.14E-04,9.09E-02
1801,1.21E-03,3.85E-03,1.94E-04,8.31E-02
1802,1.12E-03,3.86E-03,3.82E-04,9.40E-02
1803,6.01E-04,-3.87E-03,-8.58E-04,1.32E-01
1804,1.81E-03,-3.55E-03,-4.57E-04,6.83E-02
1805,-1.30E-04,-1.38E-03,3.78E-03,1.86E+00
1806,-3.12E-03,1.11E-03,-2.30E-03,2.58E-01
1807,-2.53E-03,-7.47E-05,3.13E-03,1.68E+00
1808,2.15E-03,-2.46E-03,-2.33E-03,1.13E-01
1809,-2.17E-03,2.96E-04,3.38E-03,1.89E+00
1810,-7.40E-04,-3.32E-03,-2.12E-03,2.24E-01
1811,1.01E-03,2.93E-03,-2.59E-03,1.38E-01
1812,-1.10E-03,-2.96E-03,-2.47E-03,2.14E-01
1813,-8.82E-04,-2.93E-03,-2.59E-03,1.92E-01
1814,-5.86E-05,-3.15E-03,-2.48E-03,1.66E-01
1815,1.22E-03,-3.81E-03,2.49E-04,7.59E-02
1816,1.02E-03,-3.88E-03,1.91E-04,7.58E-02
1817,1.00E-03,3.90E-03,2.49E-04,8.52E-02
1818,-3.05E-05,8.44E-04,3.94E-03,1.61E+00
1819,-2.60E-03,6.62E-05,3.07E-03,1.64E+00
1820,-3.45E-03,-3.71E-04,-2.03E-03,3.28E-01
1821,-9.69E-04,1.35E-03,3.67E-03,1.73E+00
1822,1.60E-05,-3.58E-03,-1.81E-03,1.80E-01
1823,-2.24E-03,-4.91E-04,3.31E-03,1.80E+00
1824,-2.99E-04,-3.50E-03,-1.94E-03,1.99E-01
1825,2.04E-03,3.23E-03,-1.32E-03,8.44E-02
1826,-1.06E-03,3.09E-03,-2.37E-03,2.21E-01
1827,2.41E-03,2.49E-03,-2.07E-03,9.82E-02
1828,2.23E-03,-2.61E-03,-2.07E-03,1.02E-01
1829,-2.21E-03,-2.31E-03,-2.44E-03,1.72E-01
1830,-2.13E-03,-2.25E-03,-2.56E-03,1.73E-01
1831,-2.05E-03,-2.39E-03,-2.49E-03,1.79E-01
1832,2.41E-03,2.59E-03,-1.93E-03,9.35E-02
1833,-2.24E-03,1.87E-04,3.34E-03,1.87E+00
1834,-7.30E-04,1.50E-03,3.67E-03,1.70E+00
1835,-3.59E-03,5.15E-06,-1.82E-03,3.58E-01
1836,-1.31E-04,-9.76E-04,3.90E-03,1.56E+00
1837,-1.03E-04,1.93E-03,3.54E-03,1.92E+00
1838,9.95E-05,3.82E-03,-1.31E-03,1.84E-01
1839,-3.38E-03,-6.71E-04,-2.08E-03,3.14E-01
1840,1.03E-03,3.86E-03,6.15E-04,1.22E-01
1841,1.05E-03,3.81E-03,8.36E-04,1.66E-01
1842,1.16E-03,3.81E-03,6.96E-04,1.38E-01
1843,1.37E-03,3.79E-03,1.62E-04,8.22E-02
1844,1.25E-03,3.81E-03,4.92E-04,1.11E-01
1845,-3.60E-05,1.74E-05,4.03E-03,1.07E+00
1846,-3.14E-04,-1.72E-03,3.62E-03,1.89E+00
1847,-7.05E-05,-1.52E-03,3.72E-03,1.96E+00
1848,1.94E-03,3.34E-03,-1.18E-03,8.40E-02
1849,-2.17E-03,-2.43E-03,-2.35E-03,1.78E-01
1850,2.23E-03,-2.85E-03,-1.73E-03,8.81E-02
1851,-3.06E-03,1.39E-03,-2.22E-03,2.49E-01
1852,-1.56E-03,-6.21E-04,3.66E-03,1.99E+00
1853,8.08E-04,3.96E-03,-2.07E-05,8.90E-02
1854,-2.32E-05,-1.26E-03,3.82E-03,1.87E+00
1855,-3.27E-03,-7.19E-04,-2.23E-03,2.89E-01
1856,2.09E-03,2.35E-03,-2.53E-03,1.19E-01
1857,4.14E-04,-3.85E-03,-1.06E-03,1.51E-01
1858,-2.28E-03,-2.35E-03,-2.33E-03,1.72E-01
1859,-2.97E-03,7.37E-04,-2.62E-03,2.25E-01
1860,5.09E-05,-3.90E-04,4.00E-03,1.36E+00
1861,6.30E-05,1.50E-04,4.02E-03,1.32E+00
1862,-4.00E-04,3.11E-03,-2.54E-03,1.78E-01
1863,2.20E-03,-2.29E-03,-2.46E-03,1.18E-01
1864,2.36E-03,-2.18E-03,-2.41E-03,1.15E-01
1865,2.01E-03,-3.31E-03,-1.04E-03,7.39E-02
1866,1.59E-03,-3.68E-03,1.69E-05,6.99E-02
1867,-1.06E-03,-1.23E-03,3.68E-03,1.83E+00
1868,1.67E-03,-3.64E-03,-1.37E-04,6.77E-02
1869,-1.26E-03,-3.03E-03,-2.31E-03,2.34E-01
1870,-1.29E-03,-2.93E-03,-2.43E-03,2.23E-01
1871,1.03E-03,-3.88E-03,-6.25E-06,7.63E-02
1872,-1.34E-03,1.10E-03,3.64E-03,1.88E+00
1873,-1.26E-03,-2.81E-03,-2.58E-03,2.05E-01
1874,-3.11E-03,-1.15E-03,-2.28E-03,2.62E-01
1875,2.72E-05,3.76E-03,-1.47E-03,1.89E-01
1876,2.36E-03,2.78E-03,-1.72E-03,8.75E-02
1877,-2.07E-03,4.21E-04,3.43E-03,1.93E+00
1878,-1.17E-03,3.20E-03,-2.17E-03,2.45E-01
1879,-1.52E-04,3.63E-03,-1.77E-03,1.96E-01
1880,1.56E-06,-1.11E-03,3.87E-03,1.80E+00
1881,-3.45E-03,5.99E-04,-1.98E-03,3.30E-01
1882,2.22E-03,-3.04E-03,-1.40E-03,7.77E-02
1883,-1.93E-04,-3.06E-03,-2.59E-03,1.66E-01
1884,-1.29E-03,3.04E-03,-2.32E-03,2.32E-01
1885,-7.25E-04,-2.88E-03,-2.70E-03,1.73E-01
1886,5.04E-04,-3.02E-03,-2.59E-03,1.47E-01
1887,-3.60E-03,-1.44E-04,-1.79E-03,3.65E-01
1888,-5.29E-04,-2.92E-03,-2.70E-03,1.68E-01
1889,7.75E-05,-1.40E-03,3.77E-03,2.00E+00
1890,-1.72E-03,7.08E-04,3.57E-03,1.99E+00
1891,-1.96E-03,5.11E-04,3.48E-03,1.96E+00
1892,-1.01E-04,-1.66E-03,3.66E-03,1.98E+00
1893,-1.05E-03,3.33E-03,-2.02E-03,2.53E-01
1894,1.65E-03,-2.71E-03,-2.46E-03,1.23E-01
1895,-3.06E-03,1.54E-03,-2.13E-03,2.44E-01
1896,-2.14E-03,-6.43E-04,3.34E-03,1.83E+00
1897,1.51E-03,2.70E-03,-2.59E-03,1.30E-01
1898,1.23E-04,-1.23E-03,3.82E-03,1.97E+00
1899,-3.23E-03,1.06E-03,-2.16E-03,2.80E-01
1900,9.05E-04,3.93E-03,1.12E-04,8.43E-02
1901,1.94E-03,3.39E-03,-1.02E-03,8.03E-02
1902,-2.88E-03,1.72E-03,-2.23E-03,2.10E-01
1903,-8.59E-04,3.05E-03,-2.49E-03,2.01E-01
1904,2.42E-03,2.68E-03,-1.80E-03,8.95E-02
1905,-2.61E-03,2.24E-04,3.06E-03,1.62E+00
1906,-1.40E-03,-2.96E-03,-2.31E-03,2.36E-01
1907,-1.43E-03,-2.85E-03,-2.44E-03,2.22E-01
1908,-3.16E-03,-3.39E-04,-2.46E-03,2.57E-01
1909,-3.07E-03,1.26E-03,-2.29E-03,2.49E-01
1910,-5.59E-04,3.10E-03,-2.52E-03,1.87E-01
1911,1.03E-03,-2.96E-03,-2.51E-03,1.34E-01
1912,1.18E-03,-3.76E-03,7.53E-04,1.32E-01
1913,1.15E-03,-3.80E-03,6.02E-04,1.06E-01
1914,1.30E-03,-3.74E-03,6.28E-04,1.11E-01
1915,1.07E-03,-3.85E-03,3.48E-04,8.11E-02
1916,-7.33E-06,-5.82E-04,3.98E-03,1.37E+00
1917,-1.11E-04,-1.80E-03,3.59E-03,1.99E+00
1918,-2.10E-04,-1.91E-03,3.53E-03,1.93E+00
1919,-3.06E-03,5.86E-04,-2.55E-03,2.36E-01
1920,-3.54E-03,-2.45E-04,-1.90E-03,3.48E-01
1921,-3.14E-03,4.47E-04,-2.48E-03,2.49E-01
1922,1.50E-03,-3.72E-03,1.70E-04,7.39E-02
1923,2.86E-04,3.87E-03,-1.12E-03,1.69E-01
1924,5.94E-04,-3.90E-03,-7.00E-04,1.28E-01
1925,1.30E-03,-2.77E-03,-2.60E-03,1.32E-01
1926,1.22E-03,-3.80E-03,4.41E-04,8.78E-02
1927,2.00E-03,-3.37E-03,-8.53E-04,7.10E-02
1928,4.46E-05,1.90E-03,3.56E-03,1.97E+00
1929,-6.73E-04,-3.43E-03,-1.97E-03,2.26E-01
1930,-2.57E-03,1.73E-03,-2.57E-03,1.85E-01
1931,-2.57E-03,1.59E-03,-2.67E-03,1.90E-01
1932,2.35E-03,2.20E-03,-2.43E-03,1.13E-01
1933,2.24E-03,2.21E-03,-2.53E-03,1.18E-01
1934,-1.13E-03,1.34E-03,3.63E-03,1.82E+00
1935,-2.27E-03,-2.16E-03,-2.52E-03,1.70E-01
1936,-2.34E-03,-2.26E-03,-2.35E-03,1.68E-01
1937,-2.99E-03,1.18E-03,-2.43E-03,2.38E-01
1938,-3.04E-03,-1.32E-03,-2.27E-03,2.48E-01
1939,-2.93E-03,-1.22E-03,-2.47E-03,2.30E-01
1940,-2.93E-03,-1.39E-03,-2.38E-03,2.28E-01
1941,-1.09E-03,-3.10E-03,-2.30E-03,2.31E-01
1942,-2.67E-03,1.45E-03,-2.64E-03,1.99E-01
1943,-2.88E-03,-1.53E-03,-2.36E-03,2.20E-01
1944,-2.80E-03,-1.42E-03,-2.50E-03,2.13E-01
1945,7.48E-05,-3.71E-03,-1.52E-03,1.79E-01
1946,-2.63E-03,1.83E-03,-2.44E-03,1.84E-01
1947,-1.72E-03,-6.79E-04,3.57E-03,2.00E+00
1948,2.21E-03,3.02E-03,-1.51E-03,8.45E-02
1949,-9.62E-04,-3.18E-03,-2.25E-03,2.28E-01
1950,2.24E-03,-2.11E-03,-2.58E-03,1.24E-01
1951,1.80E-04,-3.02E-03,-2.64E-03,1.53E-01
1952,-2.91E-03,-9.98E-04,-2.59E-03,2.22E-01
1953,-3.65E-03,-3.82E-05,-1.70E-03,3.79E-01
1954,-2.69E-03,-4.40E-05,2.99E-03,1.57E+00
1955,-5.18E-05,-3.66E-03,-1.64E-03,1.87E-01
1956,-1.13E-03,-1.07E-03,3.71E-03,1.81E+00
1957,-2.69E-05,1.18E-03,3.85E-03,1.76E+00
1958,2.85E-04,-3.83E-03,-1.16E-03,1.62E-01
1959,1.38E-03,-3.75E-03,3.09E-04,7.86E-02
1960,-9.51E-04,-1.35E-03,3.66E-03,1.82E+00
1961,-8.68E-04,-2.82E-03,-2.72E-03,1.76E-01
1962,-4.47E-04,1.83E-03,3.56E-03,1.82E+00
1963,-3.19E-04,-2.94E-03,-2.71E-03,1.61E-01
1964,-2.69E-03,-1.76E-03,-2.40E-03,1.94E-01
1965,-2.61E-03,-1.69E-03,-2.54E-03,1.91E-01
1966,-2.52E-03,-1.86E-03,-2.51E-03,1.80E-01
1967,-2.75E-03,-1.60E-03,-2.46E-03,2.04E-01
1968,-1.46E-03,-7.41E-04,3.67E-03,1.97E+00
1969,2.04E-03,-3.24E-03,-1.21E-03,7.66E-02
1970,-5.98E-04,1.67E-03,3.62E-03,1.76E+00
1971,-6.08E-04,-1.49E-03,3.68E-03,1.80E+00
1972,-1.94E-03,-2.51E-03,-2.47E-03,1.90E-01
1973,-1.88E-03,-2.44E-03,-2.58E-03,1.84E-01
1974,-1.81E-03,-2.57E-03,-2.50E-03,1.96E-01
1975,-1.90E-03,-2.60E-03,-2.40E-03,2.00E-01
1976,-2.16E-04,-3.60E-03,-1.76E-03,1.98E-01
1977,3.64E-04,3.90E-03,-9.66E-04,1.61E-01
1978,-6.12E-04,-3.51E-03,-1.85E-03,2.27E-01
1979,-4.58E-04,-3.56E-03,-1.78E-03,2.17E-01
1980,-2.32E-03,3.03E-04,3.28E-03,1.81E+00
1981,-2.96E-04,1.99E-03,3.49E-03,1.85E+00
1982,2.03E-03,-2.40E-03,-2.49E-03,1.21E-01
1983,5.90E-05,1.63E-03,3.69E-03,1.95E+00
1984,-2.49E-03,1.88E-03,-2.56E-03,1.79E-01
1985,-6.39E-05,-7.81E-04,3.95E-03,1.45E+00
1986,2.42E-03,2.27E-03,-2.29E-03,1.07E-01
1987,5.94E-04,-3.93E-03,-5.28E-04,1.21E-01
1988,6.70E-04,-3.94E-03,-3.46E-04,1.09E-01
1989,8.58E-04,-3.92E-03,-9.14E-05,8.63E-02
1990,-1.02E-03,2.93E-03,-2.58E-03,1.97E-01
1991,2.47E-03,2.10E-03,-2.40E-03,1.11E-01
1992,2.60E-03,1.95E-03,-2.39E-03,1.10E-01
1993,2.47E-03,1.98E-03,-2.49E-03,1.14E-01
1994,5.41E-04,3.98E-03,-4.13E-04,1.26E-01
1995,7.06E-04,3.97E-03,-1.43E-04,9.95E-02
1996,-1.50E-03,1.02E-03,3.60E-03,1.94E+00
1997,2.17E-03,3.11E-03,-1.38E-03,8.21E-02
1998,-9.36E-04,3.44E-03,-1.89E-03,2.55E-01
1999,7.76E-05,3.14E-03,-2.53E-03,1.61E-01
2000,-8.94E-04,1.49E-03,3.64E-03,1.74E+00
2001,1.00E-03,-3.82E-03,6.83E-04,1.19E-01
2002,2.41E-03,-2.00E-03,-2.51E-03,1.19E-01
2003,-2.99E-03,-1.47E-03,-2.25E-03,2.37E-01
2004,-2.27E-03,-2.43E-03,-2.25E-03,1.76E-01
2005,-3.47E-03,-5.70E-04,-1.94E-03,3.38E-01
2006,-2.03E-03,-2.53E-03,-2.36E-03,1.91E-01
2007,8.75E-04,3.86E-03,8.08E-04,1.58E-01
2008,-2.72E-03,1.12E-04,2.97E-03,1.56E+00
2009,-2.65E-03,-1.91E-03,-2.33E-03,1.83E-01
2010,1.75E-03,-3.60E-03,-2.94E-04,6.75E-02
2011,-2.52E-03,-2.48E-04,3.12E-03,1.67E+00
2012,-3.61E-03,3.42E-04,-1.75E-03,3.71E-01
2013,4.36E-04,-3.88E-03,-9.16E-04,1.46E-01
2014,-1.68E-03,2.77E-03,-2.40E-03,2.14E-01
2015,-1.53E-03,2.73E-03,-2.54E-03,2.04E-01
2016,-1.71E-03,2.65E-03,-2.51E-03,2.00E-01
2017,4.59E-04,3.93E-03,-8.03E-04,1.48E-01
2018,-1.85E-03,2.58E-03,-2.49E-03,1.95E-01
2019,-1.76E-03,2.55E-03,-2.59E-03,1.90E-01
2020,-3.34E-03,-8.54E-04,-2.07E-03,3.12E-01
2021,-2.76E-03,1.33E-03,-2.62E-03,2.05E-01
2022,1.95E-03,3.44E-03,-8.13E-04,7.58E-02
2023,-1.03E-03,-2.83E-03,-2.66E-03,1.89E-01
2024,-3.64E-03,1.28E-04,-1.72E-03,3.77E-01
2025,1.65E-04,4.38E-04,4.00E-03,1.64E+00
2026,-1.67E-03,9.40E-04,3.54E-03,1.96E+00
2027,-2.41E-03,-2.13E-03,-2.41E-03,1.69E-01
2028,-2.40E-03,-2.01E-03,-2.52E-03,1.72E-01
2029,-1.41E-03,2.89E-03,-2.44E-03,2.18E-01
2030,-1.55E-03,2.86E-03,-2.39E-03,2.22E-01
2031,1.51E-03,3.74E-03,-1.22E-04,7.59E-02
2032,-2.01E-03,-7.33E-04,3.41E-03,1.89E+00
2033,2.84E-03,-1.36E-03,-2.50E-03,1.14E-01
2034,2.74E-03,-1.33E-03,-2.62E-03,1.16E-01
2035,2.82E-03,-1.20E-03,-2.60E-03,1.14E-01
2036,-1.37E-04,2.07E-03,3.46E-03,1.88E+00
2037,-1.47E-03,-2.72E-03,-2.56E-03,2.05E-01
2038,1.63E-04,6.30E-04,3.97E-03,1.72E+00
2039,-3.40E-03,8.27E-04,-1.99E-03,3.20E-01
2040,6.52E-05,9.92E-04,3.90E-03,1.78E+00
2041,1.48E-03,-2.74E-03,-2.53E-03,1.28E-01
2042,-1.77E-03,-2.69E-03,-2.39E-03,2.10E-01
2043,1.27E-04,8.15E-04,3.94E-03,1.76E+00
2044,-3.01E-03,-8.05E-04,-2.55E-03,2.34E-01
2045,2.48E-03,-2.23E-03,-2.24E-03,1.08E-01
2046,7.66E-06,-1.94E-03,3.52E-03,1.98E+00
2047,-2.77E-03,1.77E-03,-2.34E-03,1.95E-01
2048,-1.61E-03,-2.78E-03,-2.41E-03,2.18E-01
2049,2.46E-03,-2.37E-03,-2.11E-03,1.02E-01
2050,-3.21E-03,-1.12E-03,-2.14E-03,2.82E-01
2051,1.47E-03,3.74E-03,4.14E-04,1.01E-01
2052,-3.13E-03,-1.52E-04,-2.52E-03,2.46E-01
2053,1.23E-03,-3.71E-03,9.21E-04,1.69E-01
2054,1.03E-03,-3.78E-03,8.67E-04,1.59E-01
2055,1.32E-03,3.74E-03,7.43E-04,1.50E-01
2056,1.38E-04,-2.33E-04,4.02E-03,1.47E+00
2057,2.00E-03,-3.42E-03,-6.62E-04,6.83E-02
2058,1.57E-04,2.74E-04,4.01E-03,1.57E+00
2059,-3.06E-03,-5.69E-04,-2.55E-03,2.42E-01
2060,-3.34E-03,1.03E-03,-2.00E-03,3.08E-01
2061,-2.86E-03,1.27E-03,-2.54E-03,2.17E-01
2062,1.20E-03,3.76E-03,8.61E-04,1.73E-01
2063,8.37E-05,-1.61E-03,3.68E-03,2.05E+00
2064,-3.09E-03,2.44E-04,-2.56E-03,2.39E-01
2065,1.33E-04,-3.86E-05,4.02E-03,1.44E+00
2066,-1.65E-03,-2.64E-03,-2.53E-03,2.01E-01
2067,1.71E-05,-3.03E-03,-2.63E-03,1.58E-01
2068,2.27E-03,3.05E-03,-1.35E-03,7.93E-02
2069,2.05E-05,2.04E-03,3.48E-03,1.92E+00
2070,-2.46E-03,2.73E-04,3.17E-03,1.72E+00
2071,1.29E-03,2.76E-03,-2.65E-03,1.35E-01
2072,2.36E-03,2.08E-03,-2.53E-03,1.17E-01
2073,4.22E-04,3.12E-03,-2.53E-03,1.51E-01
2074,2.09E-03,3.28E-03,-1.10E-03,7.85E-02
2075,1.49E-04,1.80E-03,3.60E-03,1.99E+00
2076,2.36E-03,-2.61E-03,-1.94E-03,9.55E-02
2077,1.68E-03,3.65E-03,-4.13E-04,7.55E-02
2078,-1.87E-03,-7.15E-04,3.49E-03,1.95E+00
2079,1.50E-03,3.74E-03,2.41E-04,8.65E-02
2080,-8.14E-04,3.54E-03,-1.76E-03,2.52E-01
2081,-9.10E-04,-3.40E-03,-1.93E-03,2.47E-01
2082,1.11E-03,-3.72E-03,1.03E-03,1.96E-01
2083,2.51E-03,-2.08E-03,-2.35E-03,1.12E-01
2084,1.87E-03,-2.51E-03,-2.51E-03,1.23E-01
2085,-1.22E-03,2.93E-03,-2.50E-03,2.11E-01
2086,1.43E-03,-3.71E-03,4.98E-04,9.46E-02
2087,-3.30E-03,-1.03E-03,-2.06E-03,3.03E-01
2088,-5.69E-05,3.83E-03,-1.27E-03,1.99E-01
2089,-2.35E-03,-1.86E-03,-2.67E-03,1.74E-01
2090,-2.87E-03,8.86E-04,-2.69E-03,2.14E-01
2091,-9.54E-05,3.70E-03,-1.61E-03,1.96E-01
2092,1.72E-03,2.63E-03,-2.53E-03,1.24E-01
2093,-1.09E-04,-2.08E-03,3.44E-03,1.91E+00
2094,-2.46E-03,1.73E-03,-2.68E-03,1.81E-01
2095,2.14E-03,-3.27E-03,-9.00E-04,6.89E-02
2096,8.06E-04,2.96E-03,-2.62E-03,1.42E-01
2097,9.12E-04,3.81E-03,9.91E-04,2.06E-01
2098,1.18E-03,-3.61E-03,1.29E-03,2.82E-01
2099,1.08E-03,-3.59E-03,1.42E-03,3.41E-01
2100,1.03E-03,-3.65E-03,1.30E-03,2.91E-01
2101,1.52E-03,3.74E-03,6.49E-05,7.88E-02
2102,-2.47E-03,-1.69E-03,-2.68E-03,1.83E-01
2103,8.04E-04,3.91E-03,6.39E-04,1.22E-01
2104,1.12E-03,3.68E-03,1.21E-03,2.81E-01
2105,9.30E-04,3.74E-03,1.20E-03,2.79E-01
2106,1.05E-03,3.66E-03,1.35E-03,3.35E-01
2107,9.86E-04,3.62E-03,1.49E-03,4.07E-01
2108,8.56E-04,3.70E-03,1.38E-03,3.61E-01
2109,2.55E-03,2.30E-03,-2.11E-03,9.99E-02
2110,-3.10E-03,1.47E-05,-2.57E-03,2.36E-01
2111,-1.92E-03,6.53E-04,3.48E-03,1.95E+00
2112,1.19E-04,1.31E-03,3.81E-03,1.93E+00
2113,7.09E-04,-3.04E-03,-2.53E-03,1.42E-01
2114,1.80E-04,1.48E-03,3.75E-03,1.98E+00
2115,6.14E-04,3.98E-03,-2.76E-04,1.12E-01
2116,2.81E-04,-3.88E-03,-9.69E-04,1.60E-01
2117,1.74E-03,-2.60E-03,-2.52E-03,1.24E-01
2118,4.81E-04,3.97E-03,-5.74E-04,1.37E-01
2119,-1.30E-03,1.28E-03,3.59E-03,1.88E+00
2120,-2.94E-03,-1.59E-03,-2.24E-03,2.26E-01
2121,8.52E-05,3.87E-03,-1.14E-03,1.86E-01
2122,-2.98E-03,1.67E-03,-2.13E-03,2.27E-01
2123,-6.99E-04,3.02E-03,-2.59E-03,1.85E-01
2124,-2.73E-03,2.34E-04,2.95E-03,1.54E+00
2125,9.16E-04,3.91E-03,4.46E-04,9.72E-02
2126,-9.35E-04,-3.27E-03,-2.12E-03,2.36E-01
2127,8.69E-04,-3.90E-03,3.63E-04,8.36E-02
2128,-5.36E-04,-1.66E-03,3.62E-03,1.85E+00
2129,-2.88E-03,1.09E-03,-2.59E-03,2.20E-01
2130,1.02E-03,-3.85E-03,5.03E-04,9.38E-02
2131,-1.25E-03,3.29E-03,-1.97E-03,2.66E-01
2132,2.43E-04,3.05E-03,-2.63E-03,1.53E-01
2133,-2.24E-03,4.84E-04,3.31E-03,1.83E+00
2134,-6.66E-04,-3.57E-03,-1.70E-03,2.38E-01
2135,-3.62E-03,-2.87E-04,-1.73E-03,3.75E-01
2136,8.16E-04,3.65E-03,1.53E-03,4.30E-01
2137,8.95E-04,3.58E-03,1.63E-03,4.86E-01
2138,-2.38E-03,-5.26E-04,3.20E-03,1.72E+00
2139,2.48E-03,-2.48E-03,-1.96E-03,9.60E-02
2140,-3.16E-03,1.24E-03,-2.17E-03,2.66E-01
2141,-1.72E-03,-2.50E-03,-2.63E-03,1.88E-01
2142,-2.09E-03,5.94E-04,3.39E-03,1.89E+00
2143,1.58E-04,-5.34E-04,3.98E-03,1.64E+00
2144,-8.01E-04,-1.46E-03,3.66E-03,1.81E+00
2145,1.12E-03,3.74E-03,1.04E-03,2.25E-01
2146,-2.37E-03,2.06E-03,-2.53E-03,1.71E-01
2147,-2.35E-03,1.88E-03,-2.69E-03,1.74E-01
2148,-2.37E-03,-2.34E-03,-2.24E-03,1.67E-01
2149,1.07E-03,-3.68E-03,1.17E-03,2.41E-01
2150,-2.84E-03,-1.67E-03,-2.30E-03,2.11E-01
2151,-4.91E-05,2.18E-03,3.39E-03,1.86E+00
2152,-4.00E-04,-1.90E-03,3.52E-03,1.87E+00
2153,2.56E-03,2.44E-03,-1.94E-03,9.37E-02
2154,-1.49E-03,2.99E-03,-2.26E-03,2.38E-01
2155,1.87E-03,3.53E-03,-6.20E-04,7.39E-02
2156,2.13E-03,-3.23E-03,-1.08E-03,7.20E-02
2157,1.47E-03,3.71E-03,6.08E-04,1.26E-01
2158,-1.56E-03,-2.90E-03,-2.29E-03,2.34E-01
2159,-1.80E-03,2.70E-03,-2.40E-03,2.07E-01
2160,1.93E-03,2.39E-03,-2.61E-03,1.24E-01
2161,-4.92E-04,3.64E-03,-1.68E-03,2.28E-01
2162,-2.49E-03,-2.19E-03,-2.26E-03,1.66E-01
2163,-2.53E-03,-2.02E-03,-2.38E-03,1.73E-01
2164,1.81E-03,3.57E-03,-4.81E-04,7.25E-02
2165,-2.54E-03,2.01E-03,-2.40E-03,1.75E-01
2166,-1.97E-03,-2.29E-03,-2.64E-03,1.74E-01
2167,-2.66E-03,-2.11E-04,3.01E-03,1.59E+00
2168,-5.43E-04,2.99E-03,-2.66E-03,1.72E-01
2169,-3.57E-03,5.91E-04,-1.77E-03,3.65E-01
2170,2.62E-03,2.09E-03,-2.24E-03,1.05E-01
2171,7.25E-05,-9.35E-04,3.91E-03,1.75E+00
2172,8.24E-04,-3.92E-03,1.38E-04,8.02E-02
2173,-4.54E-05,-2.24E-03,3.33E-03,1.86E+00
2174,1.15E-04,-2.13E-03,3.40E-03,1.91E+00
2175,6.00E-04,3.04E-03,-2.58E-03,1.46E-01
2176,1.09E-03,2.80E-03,-2.69E-03,1.39E-01
2177,2.24E-03,3.13E-03,-1.21E-03,7.77E-02
2178,-9.59E-05,3.08E-03,-2.60E-03,1.63E-01
2179,2.73E-03,-1.48E-03,-2.55E-03,1.17E-01
2180,2.34E-03,2.88E-03,-1.58E-03,8.44E-02
2181,-2.78E-03,-1.82E-03,-2.26E-03,1.97E-01
2182,9.32E-04,2.85E-03,-2.70E-03,1.41E-01
2183,6.06E-05,-1.78E-03,3.60E-03,2.02E+00
2184,2.56E-03,-1.92E-03,-2.42E-03,1.15E-01
2185,2.22E-03,-3.12E-03,-1.20E-03,7.32E-02
2186,1.38E-03,-3.68E-03,8.10E-04,1.42E-01
2187,-1.12E-03,3.42E-03,-1.83E-03,2.72E-01
2188,1.77E-04,-1.08E-03,3.87E-03,1.95E+00
